"Norm_Ux","Points:0","Points:1","Points:2"
0.30703,0.00015,3.66e-05,3.66e-07
0.2917,0.00015,3.67e-05,3.67e-07
0.27637,0.00015,3.68e-05,3.68e-07
0.26104,0.00015,3.69e-05,3.69e-07
0.2457,0.00015,3.7e-05,3.7e-07
0.22943,0.00015,3.71e-05,3.71e-07
0.21316,0.00015,3.72e-05,3.72e-07
0.19688,0.00015,3.73e-05,3.73e-07
0.18061,0.00015,3.74e-05,3.74e-07
0.16433,0.00015,3.75e-05,3.75e-07
0.14806,0.00015,3.76e-05,3.76e-07
0.13178,0.00015,3.77e-05,3.77e-07
0.11551,0.00015,3.78e-05,3.78e-07
0.099234,0.00015,3.79e-05,3.79e-07
0.08296,0.00015,3.8e-05,3.8e-07
0.074664,0.00015,3.81e-05,3.81e-07
0.066369,0.00015,3.82e-05,3.82e-07
0.058074,0.00015,3.83e-05,3.83e-07
0.049779,0.00015,3.84e-05,3.84e-07
0.041484,0.00015,3.85e-05,3.85e-07
0.033189,0.00015,3.86e-05,3.86e-07
0.024894,0.00015,3.87e-05,3.87e-07
0.016598,0.00015,3.88e-05,3.88e-07
0.0083035,0.00015,3.89e-05,3.89e-07
8.2617e-06,0.00015,3.9e-05,3.9e-07
7.43e-06,0.00015,3.91e-05,3.91e-07
6.5984e-06,0.00015,3.92e-05,3.92e-07
5.7667e-06,0.00015,3.93e-05,3.93e-07
4.9351e-06,0.00015,3.94e-05,3.94e-07
4.1034e-06,0.00015,3.95e-05,3.95e-07
3.2717e-06,0.00015,3.96e-05,3.96e-07
2.44e-06,0.00015,3.97e-05,3.97e-07
1.6084e-06,0.00015,3.98e-05,3.98e-07
7.7674e-07,0.00015,3.99e-05,3.99e-07
-5.4932e-08,0.00015,4e-05,4e-07
-5.4111e-08,0.00015,4.01e-05,4.01e-07
-5.329e-08,0.00015,4.02e-05,4.02e-07
-5.2469e-08,0.00015,4.03e-05,4.03e-07
-5.1649e-08,0.00015,4.04e-05,4.04e-07
-5.0828e-08,0.00015,4.05e-05,4.05e-07
-5.0007e-08,0.00015,4.06e-05,4.06e-07
-4.9186e-08,0.00015,4.07e-05,4.07e-07
-4.8365e-08,0.00015,4.08e-05,4.08e-07
-4.7544e-08,0.00015,4.09e-05,4.09e-07
-4.6723e-08,0.00015,4.1e-05,4.1e-07
-4.5314e-08,0.00015,4.11e-05,4.11e-07
-4.3906e-08,0.00015,4.12e-05,4.12e-07
-4.2497e-08,0.00015,4.13e-05,4.13e-07
-4.1089e-08,0.00015,4.14e-05,4.14e-07
-3.9681e-08,0.00015,4.15e-05,4.15e-07
-3.8272e-08,0.00015,4.16e-05,4.16e-07
-3.6864e-08,0.00015,4.17e-05,4.17e-07
-3.5455e-08,0.00015,4.18e-05,4.18e-07
-3.4047e-08,0.00015,4.19e-05,4.19e-07
-3.2638e-08,0.00015,4.2e-05,4.2e-07
-3.1192e-08,0.00015,4.21e-05,4.21e-07
-2.9747e-08,0.00015,4.22e-05,4.22e-07
-2.8301e-08,0.00015,4.23e-05,4.23e-07
-2.6855e-08,0.00015,4.24e-05,4.24e-07
-2.5409e-08,0.00015,4.25e-05,4.25e-07
-2.3963e-08,0.00015,4.26e-05,4.26e-07
-2.2518e-08,0.00015,4.27e-05,4.27e-07
-2.1072e-08,0.00015,4.28e-05,4.28e-07
-1.9626e-08,0.00015,4.29e-05,4.29e-07
-1.818e-08,0.00015,4.3e-05,4.3e-07
-1.6906e-08,0.00015,4.31e-05,4.31e-07
-1.5631e-08,0.00015,4.32e-05,4.32e-07
