# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
41.55           	p               	-6.18867294e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.74000963e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
41.55           	U               	(7.92360139e-02 -8.16435160e-03 -8.19180985e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21712740e+00 3.25894686e+00 8.58147407e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
41.6            	p               	-6.18780575e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73980587e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
41.6            	U               	(7.81281780e-02 -8.22692209e-03 -8.19074182e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21702108e+00 3.25875034e+00 8.58021740e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
41.65           	p               	-6.18695387e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73958527e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
41.65           	U               	(7.70215100e-02 -8.28794006e-03 -8.18945350e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21691511e+00 3.25855515e+00 8.57899408e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
41.7            	p               	-6.18613334e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73934709e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
41.7            	U               	(7.59158977e-02 -8.34740284e-03 -8.18796705e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21680969e+00 3.25836111e+00 8.57783482e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
41.75           	p               	-6.18554773e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73887008e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
41.75           	U               	(7.48112658e-02 -8.40530933e-03 -8.18430744e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21670468e+00 3.25816825e+00 8.57720366e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
41.8            	p               	-6.18470876e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73863566e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
41.8            	U               	(7.37075680e-02 -8.46165027e-03 -8.18295498e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21660008e+00 3.25797660e+00 8.57599288e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
41.85           	p               	-6.18391680e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73840747e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
41.85           	U               	(7.26048681e-02 -8.51640447e-03 -8.18146199e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21649606e+00 3.25778633e+00 8.57488571e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
41.9            	p               	-6.18329053e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73799439e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
41.9            	U               	(7.15030066e-02 -8.56957900e-03 -8.17823378e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21639246e+00 3.25759733e+00 8.57414776e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
41.95           	p               	-6.18247647e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73776399e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
41.95           	U               	(7.04019581e-02 -8.62116143e-03 -8.17682973e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21628931e+00 3.25740961e+00 8.57297891e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
42              	p               	-6.18171151e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73753263e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
42              	U               	(6.93017429e-02 -8.67113453e-03 -8.17525987e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21618675e+00 3.25722335e+00 8.57191812e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
42.05           	p               	-6.18114303e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73708264e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
42.05           	U               	(6.82021862e-02 -8.71950644e-03 -8.17157336e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21608462e+00 3.25703838e+00 8.57129571e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
42.1            	p               	-6.18034090e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73686465e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
42.1            	U               	(6.71033055e-02 -8.76625749e-03 -8.17024636e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21598297e+00 3.25685476e+00 8.57013878e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
42.15           	p               	-6.17957301e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73666310e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
42.15           	U               	(6.60051277e-02 -8.81136894e-03 -8.16877635e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21588196e+00 3.25667264e+00 8.56905587e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
42.2            	p               	-6.17884167e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73641090e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
42.2            	U               	(6.49075512e-02 -8.85483573e-03 -8.16700462e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21578160e+00 3.25649197e+00 8.56804832e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
42.25           	p               	-6.17835666e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73590382e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
42.25           	U               	(6.38104668e-02 -8.89666213e-03 -8.16257591e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21568153e+00 3.25631270e+00 8.56759579e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
42.3            	p               	-6.17757308e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73569909e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
42.3            	U               	(6.27139052e-02 -8.93682001e-03 -8.16140043e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21558209e+00 3.25613476e+00 8.56645995e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
42.35           	p               	-6.17680093e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73554430e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
42.35           	U               	(6.16178782e-02 -8.97529326e-03 -8.16006341e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21548335e+00 3.25595840e+00 8.56534635e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
42.4            	p               	-6.17606594e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73531620e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
42.4            	U               	(6.05223041e-02 -9.01207428e-03 -8.15848569e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21538524e+00 3.25578356e+00 8.56431039e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
42.45           	p               	-6.17557597e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73486606e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
42.45           	U               	(5.94270847e-02 -9.04716002e-03 -8.15450508e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21528769e+00 3.25561014e+00 8.56382448e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
42.5            	p               	-6.17481608e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73466420e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
42.5            	U               	(5.83322102e-02 -9.08053178e-03 -8.15312411e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21519073e+00 3.25543815e+00 8.56272051e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
42.55           	p               	-6.17409362e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73448679e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
42.55           	U               	(5.72377224e-02 -9.11216623e-03 -8.15162289e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21509453e+00 3.25526776e+00 8.56169810e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
42.6            	p               	-6.17352901e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73412260e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
42.6            	U               	(5.61434795e-02 -9.14206383e-03 -8.14850725e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21499895e+00 3.25509884e+00 8.56102653e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
42.65           	p               	-6.17279459e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73392867e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
42.65           	U               	(5.50494587e-02 -9.17020720e-03 -8.14698405e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21490398e+00 3.25493135e+00 8.55996398e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
42.7            	p               	-6.17211592e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73372430e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
42.7            	U               	(5.39557102e-02 -9.19657116e-03 -8.14528960e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21480977e+00 3.25476545e+00 8.55902448e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
42.75           	p               	-6.17163248e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73330115e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
42.75           	U               	(5.28620543e-02 -9.22116065e-03 -8.14142213e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21471615e+00 3.25460092e+00 8.55852013e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
42.8            	p               	-6.17090362e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73312213e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
42.8            	U               	(5.17685316e-02 -9.24394819e-03 -8.14011789e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21462319e+00 3.25443783e+00 8.55745431e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
42.85           	p               	-6.17019432e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73297982e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
42.85           	U               	(5.06751645e-02 -9.26491247e-03 -8.13871112e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21453103e+00 3.25427632e+00 8.55642862e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
42.9            	p               	-6.16950822e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73278236e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
42.9            	U               	(4.95818439e-02 -9.28404421e-03 -8.13713484e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21443953e+00 3.25411632e+00 8.55544972e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
42.95           	p               	-6.16902872e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73240069e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
42.95           	U               	(4.84885065e-02 -9.30133457e-03 -8.13351569e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21434870e+00 3.25395771e+00 8.55493346e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
43              	p               	-6.16832112e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73222821e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
43              	U               	(4.73951283e-02 -9.31676346e-03 -8.13207957e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21425852e+00 3.25380047e+00 8.55389377e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
43.05           	p               	-6.16764825e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73207216e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
43.05           	U               	(4.63017512e-02 -9.33030388e-03 -8.13060032e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21416913e+00 3.25364478e+00 8.55292999e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
43.1            	p               	-6.16699189e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73187723e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
43.1            	U               	(4.52082641e-02 -9.34194852e-03 -8.12883820e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21408045e+00 3.25349054e+00 8.55199675e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
43.15           	p               	-6.16656201e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73147101e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
43.15           	U               	(4.41145774e-02 -9.35168816e-03 -8.12484946e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21399241e+00 3.25333763e+00 8.55157201e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
43.2            	p               	-6.16587062e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73130991e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
43.2            	U               	(4.30207049e-02 -9.35949682e-03 -8.12349031e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21390504e+00 3.25318606e+00 8.55054869e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
43.25           	p               	-6.16519298e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73119374e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
43.25           	U               	(4.19266641e-02 -9.36534970e-03 -8.12210185e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21381848e+00 3.25303600e+00 8.54955330e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
43.3            	p               	-6.16453455e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73102418e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
43.3            	U               	(4.08323622e-02 -9.36923531e-03 -8.12049729e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21373263e+00 3.25288732e+00 8.54859484e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
43.35           	p               	-6.16393750e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73082054e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
43.35           	U               	(3.97377946e-02 -9.37113018e-03 -8.11853744e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21364751e+00 3.25274003e+00 8.54777144e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
43.4            	p               	-6.16355102e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73038910e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
43.4            	U               	(3.86427732e-02 -9.37103900e-03 -8.11407703e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21356298e+00 3.25259394e+00 8.54741920e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
43.45           	p               	-6.16287853e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73024864e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
43.45           	U               	(3.75473910e-02 -9.36892026e-03 -8.11287234e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21347915e+00 3.25244914e+00 8.54641440e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
43.5            	p               	-6.16220260e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73016406e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
43.5            	U               	(3.64516223e-02 -9.36475430e-03 -8.11154316e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21339614e+00 3.25230577e+00 8.54539818e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
43.55           	p               	-6.16155834e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.73001551e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
43.55           	U               	(3.53553985e-02 -9.35852397e-03 -8.11000814e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21331383e+00 3.25216370e+00 8.54444772e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
43.6            	p               	-6.16096924e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72983290e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
43.6            	U               	(3.42587073e-02 -9.35020599e-03 -8.10815446e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21323228e+00 3.25202296e+00 8.54361848e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
43.65           	p               	-6.16061473e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72940407e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
43.65           	U               	(3.31613661e-02 -9.33979978e-03 -8.10368293e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21315130e+00 3.25188333e+00 8.54331530e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
43.7            	p               	-6.15996299e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72927198e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
43.7            	U               	(3.20634441e-02 -9.32726747e-03 -8.10235918e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21307100e+00 3.25174489e+00 8.54233405e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
43.75           	p               	-6.15931238e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72919073e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
43.75           	U               	(3.09649210e-02 -9.31258550e-03 -8.10095026e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21299149e+00 3.25160775e+00 8.54135228e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
43.8            	p               	-6.15868353e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72905476e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
43.8            	U               	(2.98657112e-02 -9.29573709e-03 -8.09934871e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21291265e+00 3.25147180e+00 8.54041391e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
43.85           	p               	-6.15810683e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72888452e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
43.85           	U               	(2.87658048e-02 -9.27669628e-03 -8.09750227e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21283452e+00 3.25133704e+00 8.53959051e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
43.9            	p               	-6.15772345e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72851510e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
43.9            	U               	(2.76650228e-02 -9.25545900e-03 -8.09342978e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21275696e+00 3.25120329e+00 8.53920020e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
43.95           	p               	-6.15708852e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72839515e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
43.95           	U               	(2.65634050e-02 -9.23198934e-03 -8.09201906e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21268004e+00 3.25107061e+00 8.53823569e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
44              	p               	-6.15645588e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72831886e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
44              	U               	(2.54609317e-02 -9.20626050e-03 -8.09059046e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21260388e+00 3.25093911e+00 8.53727374e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
44.05           	p               	-6.15583744e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72820065e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
44.05           	U               	(2.43574982e-02 -9.17825545e-03 -8.08896857e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21252834e+00 3.25080867e+00 8.53633862e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
44.1            	p               	-6.15526589e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72805066e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
44.1            	U               	(2.32530799e-02 -9.14794689e-03 -8.08715435e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21245349e+00 3.25067930e+00 8.53550683e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
44.15           	p               	-6.15486292e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72772670e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
44.15           	U               	(2.21474894e-02 -9.11532836e-03 -8.08344513e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21237920e+00 3.25055086e+00 8.53505277e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
44.2            	p               	-6.15424674e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72761675e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
44.2            	U               	(2.10406651e-02 -9.08037382e-03 -8.08181674e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21230548e+00 3.25042335e+00 8.53411145e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
44.25           	p               	-6.15365241e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72751590e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
44.25           	U               	(1.99325237e-02 -9.04306009e-03 -8.08020766e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21223247e+00 3.25029690e+00 8.53321772e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
44.3            	p               	-6.15305050e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72741170e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
44.3            	U               	(1.88226813e-02 -9.00340309e-03 -8.07829056e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21216007e+00 3.25017138e+00 8.53230181e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
44.35           	p               	-6.15251208e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72724389e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
44.35           	U               	(1.77101228e-02 -8.96150780e-03 -8.07576615e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21208826e+00 3.25004679e+00 8.53152719e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
44.4            	p               	-6.15189830e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72718171e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
44.4            	U               	(1.65978878e-02 -8.91686308e-03 -8.07481500e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21201708e+00 3.24992316e+00 8.53057862e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
44.45           	p               	-6.15166834e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72667345e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
44.45           	U               	(1.54864962e-02 -8.86938459e-03 -8.07071317e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21194630e+00 3.24980018e+00 8.53049548e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
44.5            	p               	-6.15084126e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72684391e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
44.5            	U               	(1.43743663e-02 -8.81930964e-03 -8.07141207e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21187626e+00 3.24967823e+00 8.52905771e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
44.55           	p               	-6.15028890e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72670004e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
44.55           	U               	(1.32612908e-02 -8.76665787e-03 -8.06965804e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21180675e+00 3.24955710e+00 8.52823789e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
44.6            	p               	-6.14977093e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72655239e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
44.6            	U               	(1.21472297e-02 -8.71141613e-03 -8.06760490e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21173783e+00 3.24943685e+00 8.52749462e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
44.65           	p               	-6.14936589e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72626734e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
44.65           	U               	(1.10320526e-02 -8.65358332e-03 -8.06406004e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21166937e+00 3.24931728e+00 8.52700277e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
44.7            	p               	-6.14877379e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72617811e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
44.7            	U               	(9.91583804e-03 -8.59311993e-03 -8.06273871e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21160143e+00 3.24919847e+00 8.52608447e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
44.75           	p               	-6.14816807e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72613518e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
44.75           	U               	(8.79855470e-03 -8.53000214e-03 -8.06143986e-19)	(3.61459757e+01 7.94914262e-01 0.00000000e+00)	(1.21153409e+00 3.24908052e+00 8.52513356e-19)	(5.66148568e+01 1.19325506e+01 0.00000000e+00)
44.8            	p               	-6.14757194e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	1.72606324e+00	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
